"date","load","unit","year","time_interval","country"
2017-01-05 06:00:00,82425,"MAW",2017,60,"FR"
2017-01-05 07:00:00,84569,"MAW",2017,60,"FR"
2017-01-05 08:00:00,84601,"MAW",2017,60,"FR"
2017-01-05 09:00:00,84058,"MAW",2017,60,"FR"
2017-01-05 10:00:00,83283,"MAW",2017,60,"FR"
2017-01-05 11:00:00,82277,"MAW",2017,60,"FR"
2017-01-05 12:00:00,80128,"MAW",2017,60,"FR"
2017-01-05 13:00:00,78072,"MAW",2017,60,"FR"
2017-01-05 14:00:00,76404,"MAW",2017,60,"FR"
2017-01-05 15:00:00,76347,"MAW",2017,60,"FR"
2017-01-05 16:00:00,80415,"MAW",2017,60,"FR"
2017-01-05 17:00:00,85535,"MAW",2017,60,"FR"
2017-01-05 18:00:00,85872,"MAW",2017,60,"FR"
2017-01-05 19:00:00,81952,"MAW",2017,60,"FR"
2017-01-05 20:00:00,78152,"MAW",2017,60,"FR"
2017-01-05 21:00:00,78574,"MAW",2017,60,"FR"
2017-01-05 22:00:00,79378,"MAW",2017,60,"FR"
2017-01-05 23:00:00,77226,"MAW",2017,60,"FR"
2017-01-06 00:00:00,75887,"MAW",2017,60,"FR"
2017-01-06 01:00:00,74816,"MAW",2017,60,"FR"
2017-01-06 02:00:00,72382,"MAW",2017,60,"FR"
2017-01-06 03:00:00,71923,"MAW",2017,60,"FR"
2017-01-06 04:00:00,74737,"MAW",2017,60,"FR"
2017-01-06 05:00:00,80655,"MAW",2017,60,"FR"
2017-01-06 06:00:00,86824,"MAW",2017,60,"FR"
2017-01-06 07:00:00,89448,"MAW",2017,60,"FR"
2017-01-06 08:00:00,89503,"MAW",2017,60,"FR"
2017-01-06 09:00:00,88338,"MAW",2017,60,"FR"
2017-01-06 10:00:00,87166,"MAW",2017,60,"FR"
2017-01-06 11:00:00,85701,"MAW",2017,60,"FR"
2017-01-06 12:00:00,83152,"MAW",2017,60,"FR"
2017-01-06 13:00:00,80703,"MAW",2017,60,"FR"
2017-01-06 14:00:00,78455,"MAW",2017,60,"FR"
2017-01-06 15:00:00,78358,"MAW",2017,60,"FR"
2017-01-06 16:00:00,83036,"MAW",2017,60,"FR"
2017-01-06 17:00:00,87625,"MAW",2017,60,"FR"
2017-01-06 18:00:00,87684,"MAW",2017,60,"FR"
2017-01-06 19:00:00,84178,"MAW",2017,60,"FR"
2017-01-06 20:00:00,80747,"MAW",2017,60,"FR"
2017-01-06 21:00:00,81417,"MAW",2017,60,"FR"
2017-01-06 22:00:00,82507,"MAW",2017,60,"FR"
2017-01-06 23:00:00,79976,"MAW",2017,60,"FR"
2017-01-07 00:00:00,78416,"MAW",2017,60,"FR"
2017-01-07 01:00:00,76767,"MAW",2017,60,"FR"
2017-01-07 02:00:00,73738,"MAW",2017,60,"FR"
2017-01-07 03:00:00,72209,"MAW",2017,60,"FR"
2017-01-07 04:00:00,72826,"MAW",2017,60,"FR"
2017-01-07 05:00:00,74260,"MAW",2017,60,"FR"
2017-01-07 06:00:00,76927,"MAW",2017,60,"FR"
2017-01-07 07:00:00,79586,"MAW",2017,60,"FR"
2017-01-07 08:00:00,82089,"MAW",2017,60,"FR"
2017-01-07 09:00:00,82897,"MAW",2017,60,"FR"
2017-01-07 10:00:00,82799,"MAW",2017,60,"FR"
2017-01-07 11:00:00,83437,"MAW",2017,60,"FR"
2017-01-07 12:00:00,81127,"MAW",2017,60,"FR"
2017-01-07 13:00:00,77878,"MAW",2017,60,"FR"
2017-01-07 14:00:00,75537,"MAW",2017,60,"FR"
2017-01-07 15:00:00,74753,"MAW",2017,60,"FR"
2017-01-07 16:00:00,77789,"MAW",2017,60,"FR"
2017-01-07 17:00:00,81704,"MAW",2017,60,"FR"
2017-01-07 18:00:00,81986,"MAW",2017,60,"FR"
2017-01-07 19:00:00,79288,"MAW",2017,60,"FR"
2017-01-07 20:00:00,76059,"MAW",2017,60,"FR"
2017-01-07 21:00:00,77108,"MAW",2017,60,"FR"
2017-01-07 22:00:00,78459,"MAW",2017,60,"FR"
2017-01-07 23:00:00,75950,"MAW",2017,60,"FR"
2017-01-08 00:00:00,73387,"MAW",2017,60,"FR"
2017-01-08 01:00:00,71317,"MAW",2017,60,"FR"
2017-01-08 02:00:00,67904,"MAW",2017,60,"FR"
2017-01-08 03:00:00,65771,"MAW",2017,60,"FR"
2017-01-08 04:00:00,65538,"MAW",2017,60,"FR"
2017-01-08 05:00:00,66058,"MAW",2017,60,"FR"
2017-01-08 06:00:00,66900,"MAW",2017,60,"FR"
2017-01-08 07:00:00,68410,"MAW",2017,60,"FR"
